Team,Maps,Won - Lost,Pistol win %,Round 2 conv,Round 2 break,Map Name
Stockholm,1,2 - 0,100.0%,100.0%,-,Ancient
Jeeves,1,1 - 1,50.0%,100.0%,100.0%,Ancient
Xtreme5,1,1 - 1,50.0%,100.0%,0.0%,Ancient
USA fe,1,1 - 1,50.0%,100.0%,0.0%,Ancient
11 minutos tarde,1,1 - 1,50.0%,100.0%,0.0%,Ancient
GALAXY,1,0 - 2,0.0%,-,50.0%,Ancient
Sweet Aim Bro,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Shush,1,2 - 0,100.0%,100.0%,-,Ancient
Lewandownskie,1,0 - 2,0.0%,-,50.0%,Ancient
BEZPRESSA,1,1 - 1,50.0%,100.0%,0.0%,Ancient
ACME,2,1 - 3,25.0%,100.0%,33.3%,Ancient
Invictum,1,1 - 1,50.0%,100.0%,0.0%,Ancient
15 Average,1,2 - 0,100.0%,100.0%,-,Ancient
Imp Pact fe,4,5 - 3,62.5%,100.0%,33.3%,Ancient
Goliath,2,2 - 2,50.0%,100.0%,50.0%,Ancient
Wolves,1,0 - 2,0.0%,-,100.0%,Ancient
FPL Friends,2,3 - 1,75.0%,100.0%,100.0%,Ancient
Belarus,1,0 - 2,0.0%,-,50.0%,Ancient
Juggernauts,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Snakes Den,2,3 - 1,75.0%,100.0%,0.0%,Ancient
Fishing The Bait,1,2 - 0,100.0%,100.0%,-,Ancient
FURIA fe,13,13 - 13,50.0%,100.0%,15.4%,Ancient
Maximum Ego,1,1 - 1,50.0%,100.0%,100.0%,Ancient
Sunds Gymnasiet,2,2 - 2,50.0%,100.0%,50.0%,Ancient
paiN,2,3 - 1,75.0%,100.0%,0.0%,Ancient
ClayMakers,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Arrow,2,1 - 3,25.0%,100.0%,33.3%,Ancient
France fe,4,5 - 3,62.5%,100.0%,0.0%,Ancient
Glamour,2,3 - 1,75.0%,100.0%,100.0%,Ancient
Brasil Storm fe,1,2 - 0,100.0%,100.0%,-,Ancient
MAKING HISTORY,1,2 - 0,100.0%,50.0%,-,Ancient
Fire Flux,4,6 - 2,75.0%,83.3%,50.0%,Ancient
premdesant,1,0 - 2,0.0%,-,50.0%,Ancient
Grayhound,10,10 - 10,50.0%,100.0%,20.0%,Ancient
HAVENs,2,3 - 1,75.0%,66.7%,100.0%,Ancient
Alter Iron,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Honvéd,4,5 - 3,62.5%,100.0%,33.3%,Ancient
Fisher College,3,3 - 3,50.0%,100.0%,0.0%,Ancient
INFURITY,2,3 - 1,75.0%,100.0%,0.0%,Ancient
BUHAWI,2,1 - 3,25.0%,100.0%,0.0%,Ancient
TRAFFIC Tashkent,3,4 - 2,66.7%,100.0%,50.0%,Ancient
Reveal,2,1 - 3,25.0%,100.0%,0.0%,Ancient
Kazakhstan,3,4 - 2,66.7%,100.0%,0.0%,Ancient
Kubix,4,4 - 4,50.0%,100.0%,25.0%,Ancient
panelinha,1,1 - 1,50.0%,100.0%,100.0%,Ancient
M1X KS,1,2 - 0,100.0%,100.0%,-,Ancient
Dreams To Legends,3,3 - 3,50.0%,100.0%,0.0%,Ancient
Blockbusters,1,1 - 1,50.0%,0.0%,0.0%,Ancient
ECF,5,6 - 4,60.0%,66.7%,25.0%,Ancient
IKLA,7,8 - 6,57.1%,75.0%,0.0%,Ancient
Sweden fe,1,0 - 2,0.0%,-,0.0%,Ancient
Limitless Angels,2,3 - 1,75.0%,100.0%,0.0%,Ancient
ex-FORZE Ladies,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Slovakia,3,4 - 2,66.7%,100.0%,50.0%,Ancient
Spirit HU,1,2 - 0,100.0%,100.0%,-,Ancient
Serbia,6,9 - 3,75.0%,88.9%,66.7%,Ancient
JiJieHao,6,6 - 6,50.0%,50.0%,0.0%,Ancient
Grindas,1,1 - 1,50.0%,0.0%,0.0%,Ancient
Smoke fe,2,3 - 1,75.0%,100.0%,0.0%,Ancient
GTZ,2,2 - 2,50.0%,100.0%,0.0%,Ancient
Memo,2,3 - 1,75.0%,100.0%,0.0%,Ancient
Tropa do Taco,5,7 - 3,70.0%,100.0%,0.0%,Ancient
Liquid,31,34 - 28,54.8%,90.9%,35.7%,Ancient
Blaze Warriors,1,0 - 2,0.0%,-,0.0%,Ancient
SemperFi,3,4 - 2,66.7%,75.0%,0.0%,Ancient
FLUFFY MAFIA,5,6 - 4,60.0%,66.7%,25.0%,Ancient
Slugy's Shekel Squad,1,0 - 2,0.0%,-,50.0%,Ancient
CUBE,4,5 - 3,62.5%,100.0%,33.3%,Ancient
WINDINGO,3,1 - 5,16.7%,100.0%,20.0%,Ancient
Kosovo,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Argentina,1,2 - 0,100.0%,100.0%,-,Ancient
Permitta W,3,4 - 2,66.7%,100.0%,0.0%,Ancient
Marcos,7,8 - 6,57.1%,87.5%,0.0%,Ancient
En av de lette,2,3 - 1,75.0%,66.7%,0.0%,Ancient
Bad News Chickens,6,6 - 6,50.0%,83.3%,0.0%,Ancient
Parkers Money Crew,1,1 - 1,50.0%,100.0%,0.0%,Ancient
MungYu,2,1 - 3,25.0%,100.0%,33.3%,Ancient
MIBR fe,11,12 - 10,54.5%,91.7%,0.0%,Ancient
AURA,3,4 - 2,66.7%,75.0%,0.0%,Ancient
Partizan,4,4 - 4,50.0%,100.0%,50.0%,Ancient
regnum4games,2,3 - 1,75.0%,100.0%,0.0%,Ancient
Bravado,5,7 - 3,70.0%,66.7%,0.0%,Ancient
Spirit,29,34 - 24,58.6%,87.9%,16.7%,Ancient
RAGE,1,1 - 1,50.0%,100.0%,0.0%,Ancient
M80,60,62 - 58,51.7%,86.9%,29.8%,Ancient
NIP Impact,14,14 - 14,50.0%,100.0%,14.3%,Ancient
Esprots,4,4 - 4,50.0%,75.0%,25.0%,Ancient
megoshort,3,5 - 1,83.3%,80.0%,0.0%,Ancient
MAG,9,11 - 7,61.1%,72.7%,14.3%,Ancient
Imperial fe,8,10 - 6,62.5%,80.0%,33.3%,Ancient
Rounds,3,1 - 5,16.7%,100.0%,40.0%,Ancient
Budapest Five,2,2 - 2,50.0%,50.0%,0.0%,Ancient
MIBR,45,48 - 42,53.3%,87.5%,26.2%,Ancient
Legacy IN,1,0 - 2,0.0%,-,0.0%,Ancient
9z,41,38 - 44,46.3%,81.6%,18.2%,Ancient
Duck Duck Goose,1,1 - 1,50.0%,0.0%,0.0%,Ancient
Badass,11,14 - 8,63.6%,78.6%,12.5%,Ancient
ORKS,2,2 - 2,50.0%,100.0%,0.0%,Ancient
CatEvil,9,13 - 5,72.2%,76.9%,20.0%,Ancient
FaZe,33,40 - 26,60.6%,90.0%,15.4%,Ancient
WDG,1,2 - 0,100.0%,0.0%,-,Ancient
The MongolZ,49,55 - 43,56.1%,81.8%,23.3%,Ancient
Coalesce,1,1 - 1,50.0%,0.0%,0.0%,Ancient
Pigeons,11,13 - 9,59.1%,92.3%,22.2%,Ancient
choccy milk,1,0 - 2,0.0%,-,50.0%,Ancient
Johnny Speeds,47,52 - 42,55.3%,94.2%,14.3%,Ancient
Locke's Kittens,3,4 - 2,66.7%,75.0%,0.0%,Ancient
Venom,3,2 - 4,33.3%,100.0%,0.0%,Ancient
Nouns,57,67 - 47,58.8%,91.0%,8.5%,Ancient
IHC,15,15 - 15,50.0%,80.0%,26.7%,Ancient
BIG EQUIPA,14,18 - 10,64.3%,77.8%,10.0%,Ancient
Fluxo Demons,14,19 - 9,67.9%,89.5%,11.1%,Ancient
timbermen,12,11 - 13,45.8%,100.0%,38.5%,Ancient
Divine Vendetta,1,2 - 0,100.0%,50.0%,-,Ancient
Norway,6,6 - 6,50.0%,83.3%,0.0%,Ancient
NAVI Junior,45,43 - 47,47.8%,82.9%,25.5%,Ancient
ECLOT,48,48 - 48,50.0%,83.3%,16.7%,Ancient
NAVI Javelins,18,21 - 15,58.3%,95.2%,20.0%,Ancient
MOUZ,23,28 - 18,60.9%,96.4%,11.1%,Ancient
Exceed,2,2 - 2,50.0%,100.0%,0.0%,Ancient
Sharks,45,46 - 44,51.1%,95.7%,15.9%,Ancient
Karma,3,3 - 3,50.0%,66.7%,0.0%,Ancient
Nemiga,81,86 - 76,53.1%,88.2%,9.2%,Ancient
ex-SPORT,1,2 - 0,100.0%,100.0%,-,Ancient
NRG,53,57 - 49,53.8%,90.9%,10.2%,Ancient
Zomblers,2,2 - 2,50.0%,100.0%,0.0%,Ancient
RAPTORS EC,3,3 - 3,50.0%,100.0%,0.0%,Ancient
L&G,18,20 - 16,55.6%,90.0%,6.2%,Ancient
The Witchers,6,6 - 6,50.0%,83.3%,16.7%,Ancient
Wu-Tang,1,0 - 2,0.0%,-,0.0%,Ancient
dream catchers fe,9,11 - 7,61.1%,100.0%,28.6%,Ancient
Monte,46,55 - 37,59.8%,87.3%,18.9%,Ancient
THE,2,2 - 2,50.0%,100.0%,0.0%,Ancient
Hong Kong fe,1,0 - 2,0.0%,-,0.0%,Ancient
Fluxo,58,63 - 53,54.3%,88.9%,13.2%,Ancient
Wisby Gymnasiet,2,3 - 1,75.0%,100.0%,0.0%,Ancient
Pantsu,3,1 - 5,16.7%,0.0%,20.0%,Ancient
Victorum,1,0 - 2,0.0%,-,50.0%,Ancient
Alter Ego,5,5 - 5,50.0%,100.0%,20.0%,Ancient
ex-2GAME,1,1 - 1,50.0%,0.0%,0.0%,Ancient
Natus Vincere,34,38 - 30,55.9%,94.7%,10.0%,Ancient
DEAC,1,2 - 0,100.0%,100.0%,-,Ancient
Australia fe,1,1 - 1,50.0%,100.0%,100.0%,Ancient
ex-iNation,2,4 - 0,100.0%,100.0%,-,Ancient
Filhos de D10S,2,1 - 3,25.0%,100.0%,33.3%,Ancient
inSanitY fe,8,8 - 8,50.0%,100.0%,12.5%,Ancient
Legacy,53,74 - 32,69.8%,82.2%,25.0%,Ancient
fnatic,56,65 - 47,58.0%,86.2%,17.0%,Ancient
DRILLAS,16,18 - 14,56.2%,88.9%,21.4%,Ancient
KZG,18,23 - 13,63.9%,81.8%,7.7%,Ancient
Sprout,16,13 - 19,40.6%,92.3%,21.1%,Ancient
ILIN,2,2 - 2,50.0%,100.0%,0.0%,Ancient
Kazakhstan fe,2,4 - 0,100.0%,100.0%,-,Ancient
PARIVISION,36,39 - 33,54.2%,76.9%,12.1%,Ancient
HOTU,36,37 - 35,51.4%,91.9%,20.0%,Ancient
-72c,8,6 - 10,37.5%,66.7%,10.0%,Ancient
esmagaB,6,4 - 8,33.3%,100.0%,12.5%,Ancient
Qiang,2,3 - 1,75.0%,100.0%,0.0%,Ancient
ESC,4,4 - 4,50.0%,100.0%,0.0%,Ancient
ATOX,33,29 - 37,43.9%,82.8%,27.0%,Ancient
Aurora,50,55 - 45,55.0%,72.7%,24.4%,Ancient
9 Pandas,46,49 - 43,53.3%,83.7%,14.0%,Ancient
JOGA DE TERNO,3,4 - 2,66.7%,75.0%,50.0%,Ancient
CEPTER,2,3 - 1,75.0%,100.0%,0.0%,Ancient
CYBERSHOKE,39,40 - 38,51.3%,92.5%,5.4%,Ancient
Divina fe,4,5 - 3,62.5%,100.0%,0.0%,Ancient
K10,11,11 - 11,50.0%,81.8%,9.1%,Ancient
SHPL,3,3 - 3,50.0%,66.7%,33.3%,Ancient
BIG,51,52 - 50,51.0%,82.4%,14.0%,Ancient
K10 Ashes,1,0 - 2,0.0%,-,50.0%,Ancient
LA RUGONETA,6,6 - 6,50.0%,100.0%,0.0%,Ancient
Nouns fe,10,11 - 9,55.0%,81.8%,22.2%,Ancient
Ninjas in Pyjamas,37,37 - 37,50.0%,89.2%,2.7%,Ancient
ODDIK,73,78 - 68,53.4%,85.9%,11.8%,Ancient
Teamwork,3,2 - 4,33.3%,100.0%,0.0%,Ancient
huge sweaty,4,5 - 3,62.5%,40.0%,33.3%,Ancient
E-Xolos LAZER,29,33 - 25,56.9%,78.8%,12.0%,Ancient
HeizerS,2,2 - 2,50.0%,100.0%,50.0%,Ancient
00NATION,1,2 - 0,100.0%,100.0%,-,Ancient
FlyQuest,25,24 - 26,48.0%,75.0%,19.2%,Ancient
Atrix,7,8 - 6,57.1%,62.5%,16.7%,Ancient
FTW,10,7 - 13,35.0%,85.7%,15.4%,Ancient
Rare Atom,25,22 - 28,44.0%,86.4%,10.7%,Ancient
Shimmer,9,8 - 10,44.4%,87.5%,11.1%,Ancient
Permitta,97,94 - 100,48.5%,88.3%,25.0%,Ancient
GET BDOG'D,2,2 - 2,50.0%,100.0%,0.0%,Ancient
W7M fe,4,4 - 4,50.0%,100.0%,25.0%,Ancient
Niory,4,2 - 6,25.0%,100.0%,16.7%,Ancient
Solid,58,65 - 51,56.0%,93.8%,7.8%,Ancient
G2,28,34 - 22,60.7%,82.4%,9.5%,Ancient
RUSH B,32,32 - 32,50.0%,90.6%,18.8%,Ancient
B8,69,69 - 69,50.0%,85.5%,17.4%,Ancient
Illyrians,2,2 - 2,50.0%,100.0%,50.0%,Ancient
PERA,31,40 - 22,64.5%,90.0%,4.5%,Ancient
Punishers,4,3 - 5,37.5%,100.0%,0.0%,Ancient
cleanup crew fe,6,5 - 7,41.7%,100.0%,14.3%,Ancient
Astralis,27,24 - 30,44.4%,83.3%,13.3%,Ancient
undefined,5,6 - 4,60.0%,100.0%,0.0%,Ancient
5W,4,7 - 1,87.5%,85.7%,0.0%,Ancient
TSM Impact,9,9 - 9,50.0%,100.0%,11.1%,Ancient
Rocket,14,11 - 17,39.3%,90.9%,6.2%,Ancient
Lotus,3,1 - 5,16.7%,100.0%,20.0%,Ancient
Insilio,44,48 - 40,54.5%,83.3%,30.0%,Ancient
Nordix,4,4 - 4,50.0%,75.0%,0.0%,Ancient
PALOMA,2,2 - 2,50.0%,100.0%,0.0%,Ancient
KingPins,3,3 - 3,50.0%,100.0%,33.3%,Ancient
Eternal Fire Academy,1,0 - 2,0.0%,-,0.0%,Ancient
Newhappy,9,12 - 6,66.7%,66.7%,0.0%,Ancient
Intense,21,19 - 23,45.2%,94.7%,13.0%,Ancient
VP.Prodigy,21,21 - 21,50.0%,90.5%,14.3%,Ancient
500,25,27 - 23,54.0%,92.6%,13.6%,Ancient
Virtus.pro,41,41 - 41,50.0%,80.5%,9.8%,Ancient
TMVG,3,4 - 2,66.7%,75.0%,0.0%,Ancient
Sangal,45,41 - 49,45.6%,80.5%,6.1%,Ancient
Gucci Academy,6,4 - 8,33.3%,75.0%,0.0%,Ancient
RED Canids,48,45 - 51,46.9%,88.9%,9.8%,Ancient
JANO,17,16 - 18,47.1%,75.0%,27.8%,Ancient
Elevate,39,40 - 38,51.3%,84.6%,5.3%,Ancient
MIBR Academy,10,10 - 10,50.0%,90.0%,10.0%,Ancient
Gaimin Gladiators,38,33 - 43,43.4%,93.9%,9.3%,Ancient
Anonymo,27,31 - 23,57.4%,80.6%,13.0%,Ancient
Onyx Ravens,7,8 - 6,57.1%,100.0%,33.3%,Ancient
FURIA,19,23 - 15,60.5%,73.9%,13.3%,Ancient
GUN5,59,58 - 60,49.2%,91.4%,18.3%,Ancient
UNPAID,4,2 - 6,25.0%,50.0%,33.3%,Ancient
inSanitY,25,26 - 24,52.0%,96.2%,12.5%,Ancient
1WIN Gang,4,2 - 6,25.0%,100.0%,16.7%,Ancient
Gods Reign,27,22 - 32,40.7%,90.9%,28.1%,Ancient
RUBY,36,39 - 33,54.2%,82.1%,21.2%,Ancient
Let Her Cook,12,16 - 8,66.7%,81.2%,25.0%,Ancient
Wildcard,52,48 - 56,46.2%,93.6%,10.7%,Ancient
The Suspect,16,16 - 16,50.0%,68.8%,31.2%,Ancient
Insomnia,4,4 - 4,50.0%,100.0%,0.0%,Ancient
GL Prism,1,1 - 1,50.0%,100.0%,0.0%,Ancient
samaloyod,1,2 - 0,100.0%,100.0%,-,Ancient
GR,25,23 - 27,46.0%,73.9%,18.5%,Ancient
kONO,17,20 - 14,58.8%,80.0%,0.0%,Ancient
Belfast Storm,2,2 - 2,50.0%,100.0%,0.0%,Ancient
MYSKILL,1,2 - 0,100.0%,100.0%,-,Ancient
MOUZ NXT,58,64 - 52,55.2%,84.4%,15.4%,Ancient
Steel Helmet,9,6 - 12,33.3%,100.0%,16.7%,Ancient
Heimo,15,18 - 12,60.0%,83.3%,8.3%,Ancient
NOFEAR5,2,2 - 2,50.0%,100.0%,0.0%,Ancient
eHawks,3,6 - 0,100.0%,83.3%,-,Ancient
DMS,36,35 - 37,48.6%,82.9%,24.3%,Ancient
Metizport,60,57 - 63,47.5%,86.0%,12.7%,Ancient
Croatia,1,2 - 0,100.0%,100.0%,-,Ancient
Apeks,34,32 - 36,47.1%,78.1%,17.1%,Ancient
ENTiTY,2,1 - 3,25.0%,100.0%,0.0%,Ancient
Bounty Hunters,16,16 - 16,50.0%,100.0%,12.5%,Ancient
Lynn Vision,28,31 - 25,55.4%,83.9%,32.0%,Ancient
Guild Eagles,27,28 - 26,51.9%,82.1%,26.9%,Ancient
Passion UA,76,79 - 73,52.0%,86.1%,20.5%,Ancient
AMKAL,22,20 - 24,45.5%,100.0%,29.2%,Ancient
ex-ThunderFlash,5,5 - 5,50.0%,80.0%,20.0%,Ancient
BLEED,52,52 - 52,50.0%,92.3%,11.5%,Ancient
VFE,2,2 - 2,50.0%,100.0%,0.0%,Ancient
Spirit Academy,28,33 - 23,58.9%,87.9%,8.7%,Ancient
TSM,40,52 - 28,65.0%,84.3%,14.3%,Ancient
Turkey,1,2 - 0,100.0%,50.0%,-,Ancient
Revenant,24,28 - 20,58.3%,92.9%,20.0%,Ancient
Monte Gen,17,21 - 13,61.8%,90.5%,0.0%,Ancient
red demon,2,4 - 0,100.0%,75.0%,-,Ancient
DETONATE,8,9 - 7,56.2%,88.9%,14.3%,Ancient
BRUTE,1,2 - 0,100.0%,100.0%,-,Ancient
EXO,6,6 - 6,50.0%,83.3%,16.7%,Ancient
UNiTY,37,37 - 37,50.0%,81.1%,8.1%,Ancient
DUSTY,2,2 - 2,50.0%,100.0%,0.0%,Ancient
FLuffy Gangsters,28,30 - 26,53.6%,86.7%,7.7%,Ancient
BOSS,51,51 - 51,50.0%,84.3%,10.0%,Ancient
777,14,20 - 8,71.4%,80.0%,25.0%,Ancient
ALLINNERS,3,2 - 4,33.3%,100.0%,0.0%,Ancient
9INE,57,61 - 53,53.5%,85.2%,11.3%,Ancient
KOI,28,31 - 25,55.4%,93.5%,12.0%,Ancient
Sampi,66,60 - 72,45.5%,74.6%,13.9%,Ancient
Chinggis Warriors,13,13 - 13,50.0%,92.3%,23.1%,Ancient
Sashi,31,28 - 34,45.2%,89.3%,11.8%,Ancient
Tsunami Sirens,1,2 - 0,100.0%,50.0%,-,Ancient
Bromo,12,12 - 12,50.0%,83.3%,8.3%,Ancient
FAVBET,32,32 - 32,50.0%,87.5%,3.1%,Ancient
FORZE,18,18 - 18,50.0%,88.9%,27.8%,Ancient
thekillaz fe,9,8 - 10,44.4%,100.0%,10.0%,Ancient
Daystar,2,1 - 3,25.0%,100.0%,0.0%,Ancient
InControl,4,5 - 3,62.5%,100.0%,0.0%,Ancient
sYnck,9,10 - 8,55.6%,90.0%,0.0%,Ancient
Romania,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Cloud9,29,30 - 28,51.7%,90.0%,3.6%,Ancient
MASONIC,8,8 - 8,50.0%,100.0%,0.0%,Ancient
Into the Breach,45,39 - 51,43.3%,94.9%,7.8%,Ancient
SINNERS,67,73 - 61,54.5%,90.3%,19.7%,Ancient
Kappa Bar,7,6 - 8,42.9%,100.0%,0.0%,Ancient
Apogee,19,17 - 21,44.7%,82.4%,14.3%,Ancient
Preasy,48,43 - 53,44.8%,79.1%,11.3%,Ancient
Kyoto,2,2 - 2,50.0%,100.0%,0.0%,Ancient
3DMAX,67,63 - 71,47.0%,85.7%,19.7%,Ancient
adalYamigos,9,10 - 8,55.6%,90.0%,12.5%,Ancient
1WIN,27,29 - 25,53.7%,75.9%,24.0%,Ancient
The Nomads,2,2 - 2,50.0%,100.0%,0.0%,Ancient
HEROIC,38,46 - 30,60.5%,87.0%,26.7%,Ancient
Unjustified,5,5 - 5,50.0%,100.0%,0.0%,Ancient
Case,67,69 - 65,51.5%,88.4%,6.2%,Ancient
BIG Academy,5,5 - 5,50.0%,100.0%,25.0%,Ancient
OG,42,43 - 41,51.2%,79.1%,4.9%,Ancient
Cloud 10,4,5 - 3,62.5%,100.0%,33.3%,Ancient
Vikings KR,29,23 - 35,39.7%,87.0%,11.8%,Ancient
BetBoom,47,46 - 48,48.9%,91.3%,12.5%,Ancient
Eruption,5,5 - 5,50.0%,100.0%,20.0%,Ancient
AIRLYA,3,2 - 4,33.3%,100.0%,25.0%,Ancient
True Rippers,16,15 - 17,46.9%,73.3%,17.6%,Ancient
Meteor,6,7 - 5,58.3%,85.7%,40.0%,Ancient
Betera,14,12 - 16,42.9%,100.0%,6.2%,Ancient
Flamengo,7,7 - 7,50.0%,85.7%,28.6%,Ancient
SAW,41,40 - 42,48.8%,92.5%,14.3%,Ancient
LAG,41,40 - 42,48.8%,90.0%,9.5%,Ancient
brazylijski luz,16,13 - 19,40.6%,84.6%,26.3%,Ancient
BHOP,1,0 - 2,0.0%,-,0.0%,Ancient
st4rboys,2,3 - 1,75.0%,66.7%,0.0%,Ancient
Endpoint,65,59 - 71,45.4%,88.1%,19.7%,Ancient
Blessed,4,6 - 2,75.0%,83.3%,0.0%,Ancient
AJF,3,2 - 4,33.3%,100.0%,25.0%,Ancient
Nemesis fe,2,2 - 2,50.0%,100.0%,0.0%,Ancient
ENCE,34,33 - 35,48.5%,90.9%,20.0%,Ancient
Meta,3,3 - 3,50.0%,66.7%,0.0%,Ancient
VP.Angels,4,4 - 4,50.0%,100.0%,25.0%,Ancient
FLUFFY AIMERS,45,46 - 44,51.1%,91.3%,4.5%,Ancient
Pak Boyz,3,5 - 1,83.3%,100.0%,0.0%,Ancient
Party Astronauts,40,31 - 49,38.8%,90.3%,18.4%,Ancient
The Chosen Few,4,2 - 6,25.0%,50.0%,0.0%,Ancient
ENCE Academy,17,16 - 18,47.1%,87.5%,22.2%,Ancient
GhoulsW,1,1 - 1,50.0%,100.0%,0.0%,Ancient
The Prodigies,4,4 - 4,50.0%,100.0%,25.0%,Ancient
The Art of War,13,11 - 15,42.3%,81.8%,13.3%,Ancient
V1dar,3,4 - 2,66.7%,50.0%,0.0%,Ancient
Enterprise,33,36 - 30,54.5%,88.9%,10.0%,Ancient
TYLOO,18,18 - 18,50.0%,88.9%,5.6%,Ancient
Spirit fe,22,16 - 28,36.4%,81.2%,10.7%,Ancient
XI,3,1 - 5,16.7%,100.0%,40.0%,Ancient
Complexity,27,27 - 27,50.0%,85.2%,18.5%,Ancient
ENEIDA,1,2 - 0,100.0%,100.0%,-,Ancient
Nexus,62,65 - 59,52.4%,86.2%,1.7%,Ancient
BC.Game,7,5 - 9,35.7%,100.0%,0.0%,Ancient
BESTIA,43,51 - 35,59.3%,86.3%,14.3%,Ancient
Shanghai Sharks,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Superfkrs,1,1 - 1,50.0%,100.0%,0.0%,Ancient
MCS,1,2 - 0,100.0%,50.0%,-,Ancient
SENSEI,4,3 - 5,37.5%,100.0%,20.0%,Ancient
Wizard,2,1 - 3,25.0%,100.0%,33.3%,Ancient
Alliance,52,40 - 64,38.5%,90.0%,17.5%,Ancient
Young Ninjas,19,14 - 24,36.8%,85.7%,12.5%,Ancient
W7M,55,65 - 45,59.1%,90.8%,6.7%,Ancient
DEATHROW,2,3 - 1,75.0%,100.0%,0.0%,Ancient
E9,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Aurora Young Blud,42,43 - 41,51.2%,90.7%,17.1%,Ancient
Lilmix,15,16 - 14,53.3%,93.8%,28.6%,Ancient
SovvyKiNG,1,1 - 1,50.0%,100.0%,0.0%,Ancient
ex-ENEIDA,7,4 - 10,28.6%,50.0%,30.0%,Ancient
CPH Wolves,52,56 - 48,53.8%,73.2%,8.3%,Ancient
mYinsanity,3,3 - 3,50.0%,66.7%,0.0%,Ancient
GamerLegion,38,27 - 49,35.5%,85.2%,16.7%,Ancient
VexX,3,4 - 2,66.7%,100.0%,50.0%,Ancient
2ez,3,3 - 3,50.0%,66.7%,0.0%,Ancient
Illuminar,43,37 - 49,43.0%,89.2%,18.4%,Ancient
Real Gamers,1,1 - 1,50.0%,0.0%,0.0%,Ancient
Latvia,4,4 - 4,50.0%,100.0%,0.0%,Ancient
TNL,5,4 - 6,40.0%,75.0%,0.0%,Ancient
Falcons,22,23 - 21,52.3%,87.0%,23.8%,Ancient
Rebels,54,56 - 52,51.9%,83.9%,11.5%,Ancient
iNation,3,3 - 3,50.0%,100.0%,33.3%,Ancient
Reason,3,5 - 1,83.3%,100.0%,0.0%,Ancient
Clutch,6,7 - 5,58.3%,85.7%,20.0%,Ancient
Israel,1,0 - 2,0.0%,-,0.0%,Ancient
Entropiq,17,17 - 17,50.0%,94.1%,17.6%,Ancient
Final Form,10,10 - 10,50.0%,90.0%,10.0%,Ancient
Aether,3,2 - 4,33.3%,100.0%,0.0%,Ancient
more whiskey,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Verdant,32,23 - 41,35.9%,78.3%,17.1%,Ancient
The Huns,13,11 - 15,42.3%,81.8%,26.7%,Ancient
Perseverance,3,2 - 4,33.3%,100.0%,0.0%,Ancient
G3,4,5 - 3,62.5%,60.0%,33.3%,Ancient
LOS,7,6 - 8,42.9%,83.3%,12.5%,Ancient
EYEBALLERS,59,61 - 57,51.7%,72.1%,19.3%,Ancient
Nixuh,4,5 - 3,62.5%,100.0%,0.0%,Ancient
HSG fe,12,12 - 12,50.0%,83.3%,16.7%,Ancient
ECSTATIC,45,43 - 47,47.8%,81.4%,13.0%,Ancient
Fearless Cheetahs,4,4 - 4,50.0%,75.0%,0.0%,Ancient
SR Nacague,2,2 - 2,50.0%,50.0%,0.0%,Ancient
ex-Enterprise,7,8 - 6,57.1%,75.0%,0.0%,Ancient
WW,11,11 - 11,50.0%,81.8%,9.1%,Ancient
ex-sYnck,2,2 - 2,50.0%,100.0%,0.0%,Ancient
Major Abusers,2,3 - 1,75.0%,66.7%,0.0%,Ancient
Hungary,3,3 - 3,50.0%,66.7%,0.0%,Ancient
Fraud5,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Drippy Lab,2,2 - 2,50.0%,100.0%,0.0%,Ancient
Sissi State Punks,3,3 - 3,50.0%,100.0%,0.0%,Ancient
O PLANO,2,3 - 1,75.0%,100.0%,0.0%,Ancient
Space,32,27 - 37,42.2%,85.2%,2.8%,Ancient
BeBold,2,1 - 3,25.0%,100.0%,33.3%,Ancient
Rum Bumpers,1,1 - 1,50.0%,100.0%,100.0%,Ancient
ALTERNATE aTTaX,76,69 - 83,45.4%,78.3%,14.5%,Ancient
Espionage,25,22 - 28,44.0%,77.3%,10.7%,Ancient
AL QATRAO,1,1 - 1,50.0%,100.0%,0.0%,Ancient
EVOLUTION,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Carnival,5,8 - 2,80.0%,75.0%,0.0%,Ancient
Stealth,5,4 - 6,40.0%,50.0%,16.7%,Ancient
Norway fe,1,1 - 1,50.0%,0.0%,0.0%,Ancient
TÓR,3,4 - 2,66.7%,100.0%,0.0%,Ancient
TIMACETA,4,2 - 6,25.0%,50.0%,0.0%,Ancient
Denmark fe,2,1 - 3,25.0%,100.0%,33.3%,Ancient
SKIBIDIES,2,2 - 2,50.0%,100.0%,0.0%,Ancient
regain,5,3 - 7,30.0%,100.0%,14.3%,Ancient
Netherlands fe,1,2 - 0,100.0%,100.0%,-,Ancient
